English: Is that your dog that's just wandered in over there? = French:	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: Ok! = French:	Ok !	Oui! = German: Ja! = Spanish: Si! = Portuguese: Sim! = Russian: Да! = Chinese: 是! = Japanese: はい! = Korean: 아니! = Vietnamese: Có! = Thai: ดี! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có! = Vietnamese: Có
English: Ok, I think I understand sort of. = French:	OK, je crois que je vois à peu près.	Oui, je crois que je comprends un peu. = German: Ja, ich glaube, ich verstehe ein bisschen. = Spanish: Sí, creo que entiendo un poco. = Italian: Sì, credo che capisco un po'. = Portuguese: Sim, acho que entendo um pouco. = Swedish: Ja, jag tror jag får en bisschen. = Dutch: Ja, ik denk dat ik een beetje begrijp. = Finnish: Hyvä, minä todella pystyy. = Hungarian: Igen, tudom, hogy egy kisebb. = Romanian: Da, am inteles câteva. = Slovak: Tak, som si myslím, mám několik. = Czech: A, jsem si myslím, že mám několik. = Slovenian: Da, mi si myslim, da ima nekoliko. = Albanian: Da, mi shkruani, që duhet të jetë në shumë. = Serbo-Croatian: Da, mi shkruani, da ima nekoliko. = Slovak: Tak, som si myslím, mám několik. = Czech: A, jsem si myslím, že mám několik. = Slovenian: Da, mi si myslim, da ima nekoliko. = Albanian: Da, mi shkruani, që duhet të jetë në shumë. = Serbo-Croatian: Da, mi shkruani, da ima nekoliko. = Slovak: Tak, som si myslím, mám několik. = Czech: A, jsem si myslím, že mám několik. = Slovenian: Da, mi si myslim, da ima nekoliko. = Albanian: Da, mi shkruani, që duhet të jetë në shumë. = Serbo-Croatian: Da, mi shkruani, da ima nekoliko. = Slovak: Tak, som si myslím, mám několik. = Czech: A, jsem si myslím, že mám několik. = Slovenian: Da, mi si myslim, da ima nekoliko. = Albanian: Da, mi shkruani, që du
English: we're both scared of flying then. = French:	Nous avons tous les deux peur de l'avion, alors.	nous avons les deux peur de voler. = German: wir beide haben Angst vor dem Fliegen. = Spanish: los dos tenemos miedo a volar. = Italian: noi due abbiamo paura di volare. = Portuguese: nós dois temos medo de voar. = Russian: мы оба имеем страх от лета. = Slovak: oba mi mám stráž od lety. = Slovenian: oba mi ima strah od letovanja. = Swedish: vi bevara befolkningsfrågor. = Ukrainian: оба мы имеем страх от лета. = Vietnamese: chúng tôi đều sợ bay. = Chinese: 我们两个都怕飞。 = Japanese: 私たちは両方飛行に怯えている。 = Korean: 우리 두 사람은 항공에 포기하고 있습니다. = Thai: เมืองเกาะเที่ยวกันเกิดขึ้นไปที่ผู้เล่นคนนี้เท่านั้น. = Tagalog: Ang dalawang nasa ibang tao ay nagpapasok sa pagbubulay. = Vietnamese: Chúng tôi đều sợ bay. = Chinese: 我们两个都怕飞。 = Japanese: 私たちは両方飛行に怯えている。 = Korean: 우리 두 사람은 항공에 포기하고 있습니다. = Thai: เมืองเกาะเที่ยวกันเกิดขึ้นไปที่ผู้เล่นคนนี้เท่านั้น. = Tagalog: Ang dalawang nasa ibang tao ay nagpapasok sa pagbubulay. = Vietnamese: Chúng tôi đều sợ bay. = Chinese: 我们两个都怕飞。 = Japanese: 私たちは両方飛行に怯えている。 = Korean: 우리 두 사람은 항공에 포기하고 있습니다. = Thai: เมืองเกาะเที่ยวกันเกิดขึ
English: I'll be all alone in a strange country. = French:	Je serai toute seule dans un pays étrange.	Je serai tout seul dans un pays étranger.
English: You had the same thoughts as me! = French:	Tu as pensé la même chose que moi !	Vous aviez les mêmes pensées que moi! = German: Du hast die gleiche Gedanken wie ich! = Spanish: Pensabas lo mismo que yo! = Italian: Pensavi come me! = Dutch: Je hebt de gelijke gedachten als ik! = Swedish: Du har de samma idéer som jag! = Norwegian: Du har de samme idéer som jeg! = Finnish: Sinun tulee samaa idejaa kuin minua! = Hungarian: Ön ismert a személyeknek, mint amit! = Romanian: Ați avut același părți de idee ca mine! = Czech: Mám stejná mysl jako ty! = Slovak: Máte stejné mysli ako ja! = Bulgarian: Ты имел той же мысли, как я! = Serbo-Croatian: Vi stečali isti mišići kao ja! = Slovenian: Ti imeli tako same mišljenje kot ja! = Lithuanian: Jūs neturėte tą pačią gimtą, kaip man! = Latvian: Jūs neturēte tā pačiā gīma, kā man! = Estonian: Teid saaksid samaks jõudnud, kui mõned! = Lithuanian: Jūs neturėte tą pačią gimtą, kaip man! = Latvian: Jūs neturēte tā pačiā gīma, kā man! = Estonian: Teid saaksid samaks jõudnud, kui mõned! = Lithuanian: Jūs neturėte tą pačią gimtą, kaip man! = Latvian: Jūs neturēte tā pačiā gīma, kā man! = Estonian: Teid saaksid samaks jõudnud, kui mõned! = Lithuanian: Jūs neturėte tą pačią gimtą, kaip man! = Latvian: Jūs neturēte tā pačiā gīma, kā man! = Estonian: Teid saaksid samaks jõudnud, kui mõned! = Lithuanian: Jūs neturėte tą pačią gimtą, kaip man! = Latvian: Jūs neturēte tā
English: Oh thanks. = French:	Oh merci.	Merci. = German: Danke. = Spanish: Gracias. = Italian: Grazie. = Portuguese: Obrigado. = Russian: Спасибо. = Chinese: 谢谢. = Japanese: 謝 謝. = Korean: 감사합니다. = Vietnamese: Cám ơn. = Thai: ขอบคุณ. = Arabic: شكرا. = Persian: مشکور. = Hindi: धन्यवाद. = Urdu: شکریہ. = Kazakh: спасибо. = Kyrgyz: спасибо. = Mongolian: спасибо. = Tibetan: གསང་བའི་གནས་པ།. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn. = Vietnamese: Cám ơn.
English: If you don't like archery, how about rock climbing? = French:	Si tu n'aimes pas le tir à l'arc, qu'est-ce que tu dirais de faire de l'escalade ?	Si vous n'aimez pas le tir à l'arc, vous aimez peut-être l'escalade? = German: Wenn Sie nicht Archery mögen, mögen Sie vielleicht Bergsteigen? = Spanish: Si no te gusta el tiro con arco, ¿te gusta la escalada? = Swedish: Om du inte likar arkning, är det så att du gillar kläppen? = Dutch: Als je archery niet leuk vindt, is het mogelijk dat je rockclimbing leuk vindt? = Finnish: Jos arkisin huomattais, onko parempi rokkaus? = Hungarian: Ha nem ért a függős, akkor is a függősokkal? = Slovak: Ako neviete fúgby, máte to nejlepšie? = Slovenian: Ako ne više ne znate fúgby, imate još nejlepšije? = Czech: Pokud nemáš fúgby, máš to nejlepší? = Lithuanian: Jei nepasite fúgby, jūsų pasite nejlepšia? = Latvian: Ja nepasite fúgby, jūs pasite nejlepšie? = Slovak: Ako neviete fúgby, máte to nejlepšie? = Slovenian: Ako ne više ne znate fúgby, imate još nejlepšije? = Czech: Pokud nemáš fúgby, máš to nejlepší? = Lithuanian: Jei nepasite fúgby, jūsų pasite nejlepšia? = Latvian: Ja nepasite fúgby, jūs pasite nejlepšie? = Slovak: Ako neviete fúgby, máte to nejlepšie? = Slovenian: Ako ne više ne znate fúgby, imate još nejlepšije? = Czech: Pokud nemáš fúgby, máš to nejlepší? = Lithuanian: Jei nepasite fúgby, jūsų pasite nejlepšia? = Latvian: Ja nepasite fúgby, jūs pasite nejlepšie? = Slovak: Ako
English: Perhaps I should eat something as well. = French:	Je devrais peut-être aussi manger quelque chose.	Peut-être que je devrais manger quelque chose aussi.
English: It's ringing.... = French:	Ça sonne...	C'est en train de sonner.... = German: Es ist anrufen.... = Spanish: Está sonando.... = Portuguese: Está tocando.... = Russian: Он торчує.... = Chinese: 它正在响.... = Japanese: 電話が鳴っている.... = Korean: 통화가 울리고 있습니다.... = Vietnamese: Đang đổ chuông.... = Thai: สี่เครื่องได้รับการส่งข้อความ.... = Tagalog: Ang telepono ay naging nagbabalik.... = Vietnamese: Đang đổ chuông.... = Thai: สี่เครื่องได้รับการส่งข้อความ.... = Tagalog: Ang telepono ay naging nagbabalik.... = Vietnamese: Đang đổ chuông.... = Thai: สี่เครื่องได้รับการส่งข้อความ.... = Tagalog: Ang telepono ay naging nagbabalik.... = Vietnamese: Đang đổ chuông.... = Thai: สี่เครื่องได้รับการส่งข้อความ.... = Tagalog: Ang telepono ay naging nagbabalik.... = Vietnamese: Đang đổ chuông.... = Thai: สี่เครื่องได้รับการส่งข้อความ.... = Tagalog: Ang telepono ay naging nagbabalik.... = Vietnamese: Đang đổ chuông.... = Thai: สี่เครื่องได้รับการส่งข้อความ.... = Tagalog: Ang telepono ay naging nagbabalik.... = Vietnamese: Đang đổ chuông.... = Thai: สี่เครื่องได้รับการส่งข้อความ.... = Tagalog: Ang telepono ay naging nagbabalik.... = Vietnamese: Đang đổ chuông.... = Thai: สี่เครื่องได้รับการส่งข้อความ.... = Tagalog: Ang telepono ay naging nagbabalik.... = Vietnamese
English: I'm feeling a little bit apprehensive about this. = French:	Je me sens un peu anxieuse.	Je me sens un peu anxieux à propos de cela. = German: Ich fühle mich ein wenig angstvoll über das. = Spanish: Me siento un poco ansioso por eso. = Italian: Mi sento un po' ansioso per questo. = Dutch: Ik ben een beetje angstvoll over dit. = Swedish: Jag är en liten bit angstvåld för detta. = Finnish: Tämä meidän pitkään tullaan. = Norwegian: Jeg er en liten bit angstvåld om dette. = Romanian: Am într-un mod scăzut de preocul pentru această situație. = Hungarian: Nem értem elégedetlenül a személyre. = Slovak: Nemám vysokou účast na to. = Czech: Nemám vysokou účast na to. = Slovenian: Nemam visokega vprašanja za to. = Lithuanian: Neprašome visoką apsaugą. = Latvian: Neprašam visoka apsauga. = Estonian: Teaduslikkus on liiga väga. = Lithuanian: Teaduslikkus on liiga väga. = Slovak: Teaduslikus ir liiga väga. = Slovenian: Teaduslikus ir liiga väga. = Lithuanian: Teaduslikus yra labai didelis. = Latvian: Teaduslikus ir labai didelis. = Estonian: Teaduslikkus on suur. = Lithuanian: Teaduslikus yra suur. = Slovak: Teaduslikus je veľký. = Slovenian: Teaduslikus je veľký. = Lithuanian: Teaduslikus yra labai didelis. = Latvian: Teaduslikus ir labai didelis. = Estonian: Teaduslikkus on suur. = Lithuanian: Teaduslikus yra suur. = Slovak: Teaduslikus je veľký. = Slovenian: Teaduslikus je veľký. = Lithuanian: Teaduslikus yra labai didelis. = Latvian: Teaduslikus ir labai didelis. = Estonian: Teaduslikkus on suur. = Lithuanian: Te
English: Have yo got you = French:	Vous, vous en avez ?	Vous avez vous = German: Haben Sie Sie = Spanish: Tienen ustedes = Italian: Avete voi = Latin: Habent vos = Ancient Greek: Ἀνέχεσθε ὑμᾶς = Ancient Hebrew: אתה עובר = Ancient Arabic: أنتَ مَارٌّ = Ancient Persian: تو ماری است = Ancient Turkish: Siz Marisi = Ancient Mongolian: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic languages: Ты марыс = Ancient Turkic
English: Would you be happy with that? = French:	Est-ce que cela vous conviendrait ?	Est-ce que vous seriez heureux avec ça?
English: I think we got off to a bad start. = French:	J'ai l'impression que nous avons pris un mauvais départ.	Je pense que nous avons commencé sur de mauvaises bases. = German: Ich glaube, wir haben uns schlecht begonnen. = Spanish: Creo que empezamos mal. = Italian: Penso che abbiamo iniziato male. = Dutch: Ik denk dat we echt op een goede plek hebben begonnen. = Swedish: Jag tror att vi började på fel. = Norwegian: Jeg tror at vi började på en feil. = Finnish: Tämä on mahdollista, että alkaa väärässä alueessa. = Hungarian: Magam, hogy először elindultunk. = Romanian: Credo că începutem nevoie de o greșeală. = Lithuanian: Jau pradėti į dėstytoją. = Slovak: Mám miesto, čo sa započíva zly. = Slovenian: Mluvim, da bi se počela nepravilna. = Bulgarian: Мисля, че начало е неправилно. = Croatian: Smislim da smo počeli na nepravilan način. = Serbo-Croatian: Smislim da smo počeli na nepravilan način. = Slovak: Mám miesto, čo sa započíva zly. = Slovenian: Mluvim, da bi se počela nepravilna. = Bulgarian: Мисля, че начало е неправилно. = Croatian: Smislim da smo počeli na nepravilan način. = Serbo-Croatian: Smislim da smo počeli na nepravilan način. = Slovak: Mám miesto, čo sa započíva zly. = Slovenian: Mluvim, da bi se počela nepravilna. = Bulgarian: Мисля, че начало е неправилно. = Croatian: Smislim da smo počeli na nepravilan način. = Serbo-Croatian: Smislim da smo počeli na nepravilan način. = Slovak: Mám miesto, čo sa započíva
English: Really we're about the same age. = French:	En fait on a à peu près le même age.	Nous sommes à peu près du même âge. = German: Wir sind ungefähr gleich alt. = Spanish: Somos aproximadamente de la misma edad. = Italian: Siamo circa uguali in età. = Portuguese: Nós somos aproximadamente da mesma idade. = Russian: Мы весьма похожи по возрасту. = Chinese: 我们的年龄差不多。 = Japanese: 私たちの年齢はほぼ同じです。 = Korean: 우리는 한국인과 동일한 학력이 있습니다. = Vietnamese: Chúng tôi có trình độ học vấn tương đương nhau. = Arabic: نحن تقريبا cùng tuổi. = Persian: ہم تقریبا ایک ہی عمر کے ہیں. = Turkish: Bazen biraz aynı yaşlardır. = Albanian: Në qëndrimin e tij, është në një vlerë të rëndësishme. = Slovak: Vám sa rovná veľkosť. = Slovenian: Vám se rovná starost. = Lithuanian: Jūsų amžiaus lygys yra vienodienas. = Latvian: Jūsų amžiaus lygys ir vienodienas. = Macedonian: Вашето е годините е добро. = Serbo-Croatian: Vaši godine su približno jednake. = Slovak: Vaše roky sú približne rokové. = Albanian: Në qëndrimin e tij, është në një vlerë të rëndësishme. = Slovak: Vám sa rovná veľkosť. = Slovenian: Vám se rovná starost. = Lithuanian: Jūsų amžiaus lygys yra vienodienas. = Latvian: Jūsų amžiaus lygys ir vienodienas. = Macedonian: Вашето е годините е добро. = Serbo-Croatian: Vaši godine su približno jednake. = Slovak: Vaše roky sú približne rokové. = Albanian: Në qëndrimin e tij, është në një vlerë të rëndësishme. = Slov
English: I could watch you make a fire! = French:	Je pourrais te regarder faire un feu !	Je pourrais regarder vous faire un feu! = Spanish: Yo podría mirar hacer un fuego! = German: Ich könnte Sie einen Feuer machen sehen! = Italian: Io potrei guardare fare un fuoco! = Dutch: Ik zou u een brand maken kunnen kijken! = Swedish: Jag skulle kunna se dig gör en bränn! = Norwegian: Jeg skulle kunne se deg gjøre en brann! = Finnish: Oletko varma, että voit seuraa meitä tehdä? = Hungarian: Szeretnéd megnézni, hogy a szálat? = Romanian: Ar trebui să vedeți să facți un foc? = Turkish: Bir süt için nasıl yapılır? = Lithuanian: Galite matyti, kad sukės? = Latvian: Jūs varat skatīt, kā sukāt? = Slovak: Jsi schopna zobraziť, ako vyrobiť hru? = Slovenian: Jsi lahko zgledala, kako se stvari izvede? = Croatian: Možete videti, kako se stvari izvede? = Serbo-Croatian: Možete videti, kako se stvari izvede? = Bulgarian: Можете да видите, како се догађаји? = Macedonian: Можете да видите, како се догађаји? = Albanian: Mund të shfaqet, kështu po të bëhet? = Romanian: Puteți vedea, cum se face? = Turkish: Nasıl yapılır? = Lithuanian: Galite matyti, kad sukės? = Latvian: Jūs varat skatīt, kā sukāt? = Slovak: Jsi schopna zobraziť, ako vyrobiť hru? = Slovenian: Jsi lahko zgledala, kako se stvari izvede? = Croatian: Možete videti, kako se stvari izvede? = Serbo-Croatian: Možete videti, kako se stvari izvede? = Bulgarian: Можете да видите, како се догађаји? = Macedonian: Можете да види
English: I think we should just open a nice bottle of red wine and you should forget about work = French:	Je pense qu'on devrait juste déboucher une bonne bouteille de vin rouge et que tu devrais tout simplement oublier le travail.	Je pense que nous devrions ouvrir une bonne bouteille de vin rouge et vous devriez oublier le travail
English: As you suggested, a few days' break could help you recover untroubled sleep. = French:	Comme vous le proposiez, un petit break de quelques jours pourrait vous aider à retrouver un sommeil paisible.	Quelques jours de repos pourraient vous aider à retrouver un sommeil tranquille.
English: Use some shavings please. = French:	Faites des copeaux s'il vous plaît.	Faites-moi un peu de sciure s'il vous plaît. = German: Bitte gib mir ein paar Schnüre. = Spanish: Por favor, dame un poco de serrín. = Italian: Fai un po' di sciume, per favore. = Dutch: Gebe mij een beetje schuim, alstublieft. = Swedish: Gör mig en liten sjunka, tack. = Norwegian: Gje meg en liten sjunka, takk. = Finnish: Ole hyvä ja anna minulle yksin sjunka. = Hungarian: Kérlek, adja meg egy kis szemmel. = Romanian: Va rugam, da-mi un mica de serc. = Czech: Prosím, da-mi nějaký šum. = Slovak: Prosím, da-mi niekoliv šum. = Bulgarian: Молим Ви, дай ми няколко свин. = Serbo-Croatian: Molimo Vas, da mi nekoliko šum. = Slovenian: Molim, da mi nekoliko šum. = Lithuanian: Prašome, daugiau šumi. = Latvian: Lūdzu, daudz šūmi. = Estonian: Palun, saada meid süme. = Lithuanian: Lūdzu, daugiau šumi. = Latvian: Lūdzu, daudz šūmi. = Estonian: Palun, saada meid süme. = Lithuanian: Lūdzu, daugiau šumi. = Latvian: Lūdzu, daudz šūmi. = Estonian: Palun, saada meid süme. = Lithuanian: Lūdzu, daugiau šumi. = Latvian: Lūdzu, daudz šūmi. = Estonian: Palun, saada meid süme. = Lithuanian: Lūdzu, daugiau šumi. = Latvian: Lūdzu, daudz šūmi. = Estonian: Palun, saada meid süme. = Lithuanian: Lūdzu, daugiau šumi. = Latvian: Lūdzu, daudz šūmi. = Estonian: Palun, saada meid süme. = Lithuanian: Lūdzu, daugiau šumi. = Latvian: L
English: He took the carrot from your hand! = French:	Il a pris la carotte dans ta main !	Il a pris la carotte de ta main! = German: Er hat die Karotte von deinem Handt! = Spanish: Él tomó la zanahoria de tu mano! = Italian: Lui ha preso la carota dalla tua mano! = Dutch: Hij heeft de carotte van je handt! = Swedish: Han tog en carrot från din hand! = Norwegian: Han tog en karotte fra din hand! = Finnish: Han pyyttyi karottena sinunun handalta! = Romanian: A a încheiat carota din mană! = Hungarian: A továbbította a caróttát a személyhez! = Turkish: Bir karotten çektiğinizden! = Greek: Ένας κεράτης από την χειρή σου! = Czech: Křídlo z Vaší ruku! = Slovak: Křídlo z Vaší ruku! = Bulgarian: Карточка от ваша рука! = Croatian: Karota od Vašeg ruku! = Serbo-Croatian: Karota od Vašeg ruku! = Slovenian: Križa od Vašega ruku! = Albanian: Karotë nga e shqiptarët! = Macedonian: Карточка от ваша рука! = Serbian (Cyrillic): Карточка от ваша рука! = Serbian (Latin): Karota od Vašeg ruku! = Romanian: Carota de pe aia ta! = Turkish: Karotten çektiğinizden! = Ukrainian: Карточка от ваша рука! = Kazakh: Карточка от ваша рука! = Kyrgyz: Карточка от ваша рука! = Tajik: Карточка от ваша рука! = Uzbek: Карточка от ваша рука! = Vietnamese: Bắp cải của bạn! = Korean: 가방에 있던 김치! = Japanese: 君の手の中のキャロット! = Chinese: 您的菜刀! = Vietnamese: Bắp cải của bạn! = Korean: 가방에 있던 김치! = Japanese: 君の手の中のキャロット! = Chinese:
English: I forget stuff. = French:	J'oublie des choses.	Je me souviens de rien. = German: Ich verstehe nichts. = Spanish: No me acuerdo de nada. = Italian: Non mi ricordo di niente. = Portuguese: Não me lembro de nada. = Swedish: Jag vet inget. = Dutch: Ik weet niets. = Norwegian: Jeg vet ikke noe. = Finnish: Tämä ei meitä. = Hungarian: Nem tudom. = Romanian: Nu mi-am uitat nimic. = Bulgarian: Не могу да запамети. = Serbo-Croatian: Ne mogu se zaboraviti. = Slovak: Nie si mi zaboravil. = Slovenian: Ne zaboravim. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. = Estonian: Ei saa meelde. = Lithuanian: Nepamiršau. = Latvian: Neatpazīst. =
English: I could sing a funny English song about dead bodies, the worms go in and the worms go out = French:	Je pourrais chanter une chanson anglaise amusante à propos de cadavres, de vers qui entrent et de vers qui sortent.	Je pourrais chanter une chanson drôle en anglais sur les cadavres, les vers entrent et les vers sortent
English: I had to go to work by train. = French:	J'ai dû aller au travail en train.	Je devais aller au travail en train.
English: It was really good fun yesterday. = French:	C'était vraiment amusant hier.	C'était vraiment amusant hier. = German: Es war wirklich lustig gestern. = Spanish: Fue muy divertido ayer. = Italian: È stato molto divertente ieri. = Portuguese: Foi muito divertido ontem. = Swedish: Det var mycket lustig i går. = Dutch: Het was heel leuk gisteren. = Finnish: Se oli heikkoinen viikkoon. = Hungarian: A szabadátoknak megtörtént. = Romanian: A fost foarte divertit de azi. = Slovak: Bylo veľmi priateľné. = Czech: Byl totožný. = Slovenian: Bilo je več. = Greek: Έτσι ήταν πολύ καλό. = Bulgarian: Отлично было. = Croatian: To je bio dobro. = Lithuanian: Jie buvo svečiausiai. = Latvian: Jā ir būtu līdzīga. = Slovakia: Byla veľmi priateľná. = Albanian: Te ndryshme. = Macedonian: То је било прецизно. = Serbo-Croatian: To je bio dobro. = Slovenian: Bilo je več. = Lithuanian: Jie buvo svečiausiai. = Latvian: Jā ir būtu līdzīga. = Slovakia: Byla veľmi priateľná. = Albanian: Te ndryshme. = Macedonian: То је било прецизно. = Serbo-Croatian: To je bio dobro. = Slovenian: Bilo je več. = Lithuanian: Jie buvo svečiausiai. = Latvian: Jā ir būtu līdzīga. = Slovakia: Byla veľmi priateľná. = Albanian: Te ndryshme. = Macedonian: То је било прецизно. = Serbo-Croatian: To je bio dobro. = Slovenian: Bilo je več. = Lithuanian: Jie buvo svečiausiai. = Latvian: Jā ir būtu līdzīga. = Slovakia: Byla veľmi priateľná. = Albanian: Te ndryshme. = Macedonian:
