French: je m'ennuie = English: I'm bored.	Est-ce que c'est votre chien qui vient de rentrer par là ?	C'est votre chien qui est juste entré par là?
English: Light the fire quick! = French: Allume vite le feu !	Comment a été la tienne ?	Comment était le tien ?
English: So here I am. What do you want me to do? = French: Et bien me voilà. Que veux-tu que je fasse ?	Et ensuite il n'y avait plus du tout de glace à manger.	Et puis il n'y avait plus de glace à manger du tout!
English: Do you know if there is a cafe close by to here? = French: Vous savez s'il y a un café près d'ici ?	Ce n'est pas un nom que je connais.	Ce n'est pas un nom que j'ai jamais entendu avant.
English: I think they like vegetation, but I'm not too sure what else = French: Je crois qu'ils aiment la végétation, mais à part ça je ne sais pas trop.	J'ai dit désert pour rire, je voulais dire dessert !	J'ai dit des déserts pour plaisanter, je voulais dire des desserts!
English: Would it not be better if we think about something positive and fun? = French: Est-ce que ce ne serait pas mieux si on pensait à des choses positives et amusantes ?	Pauvre bête, en plus il pleut et il a l'air d'avoir faim.	Pauvre bête, il pleut aussi et il a l'air affamé.
French: Tu penses que les migrations des canards seraient dues à des facteurs socio-économiques ? = English: Do you think that the ducks' migration is due to socio-economic factors?	Je vais voir s'il peut nous donner aussi des trucs à grignoter.	Je vais voir s'il peut nous donner des en-cas aussi.
French: Ça marche, je continue à préparer le dessert à ce moment-là ! = English: Great! I'll continue preparing the dessert then!	Tout à l'heure je prendrai peut-être aussi quelques shots, quand mes amis seront arrivés !	Ça marche, je continue à préparer le dessert à ce moment-là!
French: Le but est surtout de vous apprendre à travailler en équipe, et de vous donner une expérience de présentation orale. = English: The aim is above all to learn to work in a team and to give you an experience of presenting orally.	On fait de très bons amuse-bouche.	On fait des trucs de ouf au bar
French: C'est quoi l'entrée et le plat du jour, ce soir, chef? = English: What's the starter and today's special this evening, chef?	Ils n'ont pas été très bons ces derniers temps.	Ils n'ont pas été bons dernièrement.
French: Il est jeune, mais ça n'excuse pas son égoïsme. = English: He's young, but that's no excuse for his selfishness.	Je pense que le pain coule et salit la mare — c'est ce que j'ai entendu dire en tout cas.	Je pense que le pain coule et crée un marécage - c'est ce que j'entends.
French: Oui pardon pardon. = English: Yes, sorry, sorry.	Vous êtes tout simplement sous pression, ce qui arrive à bien des gens ces temps-ci.	En gros, vous êtes stressé, ce qui arrive à beaucoup de gens ces jours-ci.
English: Your seminar sounds interesting. = French: Votre séminaire a l'air intéressant.	Nous pouvons utiliser la lampe de mon téléphone.	Nous pouvons utiliser la torche dans mon téléphone.
French: Que faites vous comme travail = English: What do you do for a living?	La nourriture est toujours mixée.	la nourriture est juste molle
French: Je ne sais pas dans quelle mesure c'est de votre faute, mais si on reste coincés longtemps dans cet ascenseur, vous pourrez y travailler ici. = English: I don't know how much it's your fault, but if we're stuck in this lift a long time, you could work in here.	Et la fois où nous jouions aux cartes et où je suis allée aux toilettes ?	Je ne sais pas quand on jouait aux cartes et que je suis allé aux toilettes
English: And I might even have some biscuits... = French: Et j'ai même peut-être des biscuits.	On se prépare pour une guerre ?	Est-ce qu'on attend une guerre?
English: Is there a wine that is particularly local? = French: Est-ce que vous avez un vin particulièrement local ?	Je suis bien ici, merci.	Je suis bien ici merci.
English: Although you may be onto something with your idea of the fire. = French: Ceci dit, tu tiens peut-être quelque chose avec ton idée de feu.	Il y a eu cette fois où nous avons été couverts de neige.	Bon, il y a eu une fois où nous avons été bloqués par la neige.
French: Il faut mélanger de la cachaca avec du jus de citron vert, du sucre et des glaçons = English: You need to mix cachaça with lime juice, sugar and ice cubes.	Nous marchons dans la forêt depuis longtemps et j'ai l'impression que nous sommes dans un cul-de-sac.	Nous avons marché dans la forêt pendant longtemps et nous avons l'impression d'être arrivés à un cul-de-sac.
French: Pour le non alcoolisé, c'est très bien d'y avoir pensé = English: That's a good to have thought about non-alcoholic stuff.	J'ai passé une journée horrible.	Mon jour était affreux.
French: ça va te faire du bien, tu verras = English: It'll do you good, you'll see.	Ça m'aide vraiment à réfléchir à ce que je dois écrire, merci.	Ça m'aide vraiment à réfléchir à ce que je dois écrire, merci.
English: I can't afford to change jobs at the moment or be unemployed.. = French: Je ne peux pas me permettre de changer de travail en ce moment ou d'être au chômage...	Est-ce que tu en connais ?	Tu ne connais pas d'endroit?
English: Pretty please! = French: S'il te plaît !	C'est une situation qui est contre-productive car si vous êtes stressée et avez besoin de repos, cela ne fera qu'aggraver le problème du personnel.	C'est une situation qui est actuellement contre-productive parce que si vous êtes stressé et avez besoin de prendre du temps, cela ne fera que rendre la situation du personnel pire.
French: On pourrait faire un petit atelier décoration dimanche matin, comme ça tout sera prêt pour la fête le samedi d'après. = English: We could do a decoration workshop on Sunday morning. That way everything will be ready for the party the following Saturday.	Que diriez-vous de notre plateau de burgers ?	on pourrait faire un petit atelier décoration dimanche matin, comme ça tout sera prêt pour la fête le samedi d'après
English: I remember that = French: Ça je m'en souviens.	Je suis excitée par ma fête.	Je suis excité pour ma fête.
French: qu'en pensez-vous ? = English: What do you think?	Quel cocktail veux-tu ?	Quel cocktail voulez-vous?
French: Il ne reste plus qu'à faire la liste des invités et à envoyer les invitations. = English: All that's left do is the guest list and sending the invitations.	Génial !	C'est parfait!
English: Hopefully they won't sink while eating, that would be a sad lunchtime for them. = French: Espérons qu'ils ne se noieront pas en mangeant, ce serait un déjeuner bien triste pour eux.	Mais je ne pense pas qu'elle partait si loin.	mais je ne pense pas qu'elle était si loin.
English: Do you have any suggestions as to how I talk to him about this? = French: Est-ce que vous avez des idées sur la façon de lui en parler ?	C'était mon mari, mais mon ami ?	Il était mon mari, mais mon ami?
French: Cela permettrait en même temps de réduire la pollution. = English: It would help reduce pollution at the same time.	Être un peu énervé par la faim, c'est pas comme mourir de faim en Syrie... Il faut rester conscient de ce qui est un VRAI problème, et de ce qui n'en est pas.	Être un peu en colère, ce n'est pas comme mourir de faim en Syrie..
English: Home is where you are. = French: On est chez soi là où on vit.	Des chants horribles et ma voix horrible.	Des chansons terribles et ma terrible voix.
French: j'ai entendu parler d'un jeune stagiaire.... = English: I overheard something about a young intern...	Je suppose que vous voulez dire des pistes ?	je présume que vous voulez dire des voies
English: The train was full so I had to stand all the way in to town. = French: Le train était bondé donc j'ai dû rester debout pendant tout le trajet jusqu'au centre ville.	Oui, ma lune de miel a changé ma vie.	Oui, mon voyage de noces a changé ma vie.
French: Ah, tant mieux! = English: Ah, that's good!	La galerie d'art n'est qu'à cent mètres du bar.	
English: why did you bring a tree onto the plane?! = French: Pourquoi as-tu apporté un arbre dans l'avion ?!	Bon, il n'existe probablement pas, mais au moins on serait en haut d'une montagne à le chercher à la place de cette dispute stupide.	Bon, il n'existe probablement pas, mais au moins on serait en train de grimper une montagne à sa recherche, au lieu de se disputer comme des gamins.
French: Si tu veux tu peux aussi faire un tour avec le chien. = English: If you want, you could go for a stroll with the dog too.	Bonne idée.	Ça a l'air bien.
French: Je dois me remettre de mes émotions ! = English: I need to calm down!	Je vais sortir les cartes maintenant.	Je vais chercher les cartes maintenant
French: Prenez un événement. = English: Take an event.	Bien qu'en Angleterre ils cultivent des betteraves, si c'est ce que tu veux dire. Elles sont traditionnellement bouillies et servies avec du vinaigre.	bien que les betteraves soient cultivées en Angleterre, si c'est ce que vous voulez dire, elles sont traditionnellement bouillies et servies avec du vinaigre
French: et il n'y a pas grand monde d'intéressant = English: And there aren't many interesting people.	Oui, je suis clairement nouvelle ici mais en tant que cliente régulière vous savez à quel point les cocktails sont chers ici.	Oui, je suis définitivement nouveau ici mais comme vous êtes un habitué vous savez combien les cocktails sont chers ici.
French: Ah! = English: Oh!	C'est vraiment nul.	C'est si ennuyeux.
French: Il va y avoir un enterrement de vie de garçon dans le bar ce soir ? = English: So there's going to be a stag do in the bar tonight?	Il n'est pas trop tôt pour un cocktail, n'est-ce pas ?	Il n'est pas trop tôt pour un cocktail, non?
French: Difficile de choisir. = English: Difficult to choose.	Que dirais-tu que demain nous allions en excursion dans les marchés ouverts et que nous mangions quelque part en ville ?	Comment est-ce qu'on dit qu'on va faire une excursion demain aux marchés et puis qu'on va manger quelque part en ville?
English: So, the idea is, if you get the duck's body it's 5 points and it's 10 for the head! = French: Donc, l'idée est, si tu touches le corps du canard c'est 5 points et 10 si c'est la tête.	Je ne sais pas pourquoi j'ai fait ça.	Je ne sais pas pourquoi je l'ai fait.
English: Great! = French: Génial !	Je vais appuyer à nouveau sur le bouton pour le deuxième étage.	Je vais appuyer sur le bouton pour le deuxième étage.
English: I'd prefer to just sit. = French: Je préfère simplement m'asseoir.	Oh j'ai aussi des gins sans alcool pour les amis qui conduisent ou ne boivent pas.	Oh, j'ai aussi du gin non alcoolisé pour les amis qui conduisent ou qui ne boivent pas.
English: I would like to make it fancy dress too. = French: J'aimerais aussi porter une robe chic.	Est-ce que votre café vous convient ?	Est-ce que vous aimez votre café?
French: Coucou, comment s'est passée ta journée ? = English: Hi, how did you day go?	Cela a l'air très bien.	Ça a l'air super.
French: Vous avez toutes les capacités pour réussir. = English: You are wholly capable of succeeding.	Et sérieusement, est-ce qu'on se sert vraiment de ce qu'on apprend en cours ?	Et, sérieusement, est-ce que vous utilisez vraiment quelque chose que vous avez appris en classe?
French: Bonjour, je prends un café avec un jus d'orange s'il vous plait = English: Hello, I'll have a coffee with an orange juice please.	Est-ce que vous voyez un lien possible avec votre vie de tous les jours ?	Pensez-vous à un lien possible avec votre vie quotidienne?
English: Do you mean there are ten customers or are they late? = French: Tu veux dire qu'il y a dix clients, ou qu'ils sont en retard ?	La raison pour laquelle ils sont cruels est qu'il porte des lunettes.	La raison pour laquelle ils sont cruels avec lui est qu'il porte des lunettes.
English: I don't know why some old people have to grumble and moan so much = French: Je ne sais pas pourquoi certaines personnes âgées on besoin de se plaindre et gémir à ce point.	Qu'est-ce que tu veux dire par « on continue » ?	Qu'est-ce que tu veux dire qu'on continue?
English: I don't have a favourite aperitif myself - I don't drink much at all, really only at special occasions where I like a glass of champagne. = French: Moi je n'ai pas d'apéritif préféré - Je ne bois pas beaucoup, en fait seulement pour les grandes occasions, où j'aime bien prendre un verre de champagne.	Après avoir passé en revue ce que vous m'avez raconté, je pense que c'est du ressort d'un ophtalmologiste et non un psychiatre.	Après avoir entendu ce que vous m'avez dit, je pense que c'est quelque chose pour un opticien et non un psychiatre.
English: We could just phone for a taxi? = French: On pourrait tout simplement appeler un taxi.	Vous savez comment il s'appelle ?	Vous savez comment ça s'appelle.
English: Really we're about the same age. = French: En fait on a à peu près le même age.	Vous commencez à m'agacer, là.	Tu me fais chier maintenant.
English: She wouldn't take any money from me. = French: Elle n'accepterait pas d'argent de ma part.	J'aimerais aller voir les superbes chemins de randonnée dans les environs.	Je veux aller voir les superbes sentiers de randonnées qu'ils ont à côté.
English: How was your day, sweet one? = French: Comment s'est passée ta journée, ma chérie ?	Que dirais-tu de la plage ?	Et la plage, qu'en penses-tu ?
French: Votre café n'est pas mauvais. = English: Your coffee isn't bad.	Je pourrais préparer mon grand classique, une tarte à la frangipane et à la pomme.	Je pourrais faire ma spécialité, une tarte aux frangipanes et aux pommes
English: My husband doesn't understand how stressful my job is. = French: Mon mari ne comprend pas à quel point mon travail est stressant.	Je propose que nous allions par-là et que nous restions ensemble.	Je suggère que nous allions par là et que nous restions ensemble.
French: Je ne suis même pas sûr de savoir vraiment ce que mangent les canards dans la nature. = English: I don't even think I really know what ducks eat in the wild.	Il est plongeur caméraman.	Il est un caméraman plongeur sous-marin.
English: how did you get that through security? = French: Comment as-tu fait pour le faire passer la sécurité ?	Pourriez-vous s'il vous plaît mettre ce chewing-gum à la poubelle ?	Pourriez-vous s'il vous plaît mettre ce chewing-gum dans la poubelle?
English: I work from home and it's nice to get out and be with people as it's quite lonely not seeing anyone all day. = French: Je travaille à domicile et c'est agréable de sortir et d'être avec d'autres gens car on se sent bien seule quand on ne voit personne de la journée.	On va être vraiment pas sages et fumer aussi un ou deux de mes petits cigares.	On va être vraiment vilains, et fumer deux de mes petits cigares en plus.
English: Or we could be lost here forever. = French: Sinon on pourrait être perdues ici pour toujours.	Tu râles vraiment beaucoup.	Tu gémis beaucoup.
French: Et bien si on pouvait se donner rendez-vous 2 heures avant, ce serait pas mal. = English: Well, it would be good if we could meet up 2 hours before.	Mais tu ne m'as pas l'air très réaliste.	Mais tu as l'air un peu irréaliste.
French: Je dirais que oui. = English: I'd say so.	À quelle distance de lui habites-tu ?	Comment
English: Would you like to play a card game to take your mind off it all = French: Est-ce que tu voudrais faire une partie de cartes pour te changer les idées ?	Je ne dis pas ça contre ton ami...	Je ne te fais pas de reproche à propos de ton ami...
French: Ou une tarte aux mûres pour finir ? = English: Or a blackberry tart to finish?	Couci-couça, mais bien mieux qu'hier, merci.	Alors, alors, mais beaucoup mieux qu'hier, merci.
English: I don't like comics. = French: Je n'aime pas les bandes dessinées.	Pourquoi as-tu tellement envie d'aller te promener ?	Pourquoi es-tu si pressé de faire une promenade?
English: What about the time when we were playing cards and I went to the loo. = French: Et la fois où nous jouions aux cartes et où je suis allée aux toilettes ?	Comme je l'ai dit, il faut de tout.	Comme je l'ai dit; il y a de tout.
French: C'est exactement ces vacances que je voulais. = English: This is just the holiday I wanted.	Si nous survivons, je déposerai plainte contre la compagnie aérienne.	Si on survit je vais faire une plainte à la compagnie aérienne.
French: Sinon, si vous avez du vin, ça m'ira aussi ! = English: Or if you have wine, that'll do me too!	Je voulais dire que je pense que nous tournons en rond !	Je voulais dire que je pense qu'on tourne en rond!
English: We'll serve them on a bed of wiltes spinach and with French beans on the side = French: Nous les servirons sur un lit d'épinards blanchis et avec des haricots verts à part.	Vous les écoutez vous aussi à travers les murs ?	Vous les écoutez aussi à travers les murs?
English: Is there something bothering you? = French: Est-ce qu'il y a quelque chose qui vous tracasse ?	Tu as déjà commencé à boire ?	Est-ce que vous avez déjà bu ?
English: That's fair. = French: C'est juste.	J'adorerais un peu de thé mais nous ne devrions pas nous arrêter.	J'adorerais du thé mais nous ne devrions pas nous arrêter.
French: Les autres résidents partagent tes opinions ? = English: Do the other residents share your opinions?	Je ne pense pas qu'un miroir va m'aider.	Je ne pense pas qu'un miroir va aider.
French: Oh lalaa ! = English: Dearie me no!	Qu'est-ce qu'il s'est passé exactement ?	Qu'est ce qui s'est passé exactement?
French: Certes = English: Yes, they are.	J'ai passé du temps en France, en Allemagne et en Amérique du sud.	J'ai passé du temps en France, en Allemagne et en Amérique du Sud.
English: There is another engine, but I think that I can hear that failing now as well = French: Il y a un autre moteur, mais je crois que je l'entends tomber en panne lui aussi maintenant.	Bonsoir.	Bonsoir.
English: Leave me in peace for a bit while I snooze a bit = French: Laisse-moi tranquille un petit moment que je fasse une petite sieste.	Vous ne souriez pas souvent.	Tu ne souris pas souvent.
French: Oui un peu, mais ça s'oublie vite = English: Yes a little bit, but you lose it fast!	Dans ce cas un restaurant français pas cher.	Un petit restaurant français pas cher.
French: On pourra sans doute lui demander un autographe à la fin. = English: We should be able to ask him for an autograph at the end.	Mais ce serait agréable de partager ces choses-là avec quelqu'un.	Mais ce serait bien de faire ces choses avec quelqu'un d'autre.
English: How was your day, sweet one? = French: Comment s'est passée ta journée, ma chérie ?	Est-ce que tu ne pourrais laisser le travail au travail ?	Peux-tu juste laisser le travail au travail ?
French: Merci. = English: Thank you.	Bonne idée, je vais en prendre un moi aussi.	Bonne idée, j'en prendrai un aussi.
French: Merci ! = English: Thank you!	Je mets du citron et un peu d'eau.	J'ai mis du jus de citron et un peu d'eau.
French: Je monte, mais franchement je garde mon téléphone nah !! = English: I'll go up, but I'm keeping my telephone, so there!!	Je dis ça, mais ça ne me regarde pas.	Pas que ça me regarde
English: and i hear you mention the word "agile" one more time i swear my blood will boil = French: Et si je vous entend mentioner le mot « agile » une fois de plus je jure que je vais exploser.	Je préparerai de la nourriture qui conviendra à tout le monde, ne t'inquiète pas.	Je vais faire de la nourriture qui convient à tout le monde, ne vous inquiétez pas.
French: En plus ils ont de bons gâteaux. = English: And they have good cake.	Une fourchette ?	Une fourchette?
English: I know that = French: Je le sais bien.	Et donc ?	Alors?
French: Tu n'es pas supposée le savoir! = English: You're not supposed to know!	Tu n'aimes pas M. Jameson ?	Ne trouves-tu pas que M. Jameson est un homme bien?
French: De toute façon, ils vont se précipiter sur le pain ! = English: In any case, they're going to throw themselves at the bread!	Oui je les ai vus. Ça va être un cauchemar.	Oui, je les ai vus. Ce sera un cauchemar.
French: Je crois que Marc utilise beaucoup Spotify. = English: I think that Marc uses Spotify a lot.	C'est grand, un piano, mais ce serait bien qu'ils aient un synthétiseur.	Un piano est un gros truc, mais il serait bien qu'il y ait un clavier.
English: Did he give you any messages for me? = French: Est-ce qu'il t'a donné un message pour moi ?	Je ne veux plus jamais retourner au travail !	Je ne veux jamais retourner au travail!
French: Je ne vais pas pouvoir téléphoner. = English: I won't be able to call.	J'ai aussi du mal en français...	Je ne vais pas pouvoir téléphoner
French: Attendez! = English: Wait!	Miam !	Hmmmm!
French: Oui, pas de problème. = English: Yes, no problem.	J'ai appuyé sur le bouton d'urgence il y a une demi-heure.	J'ai appuyé sur le bouton d'alarme il y a une demi-heure.
English: I'll get the drinks. = French: Je vais chercher les boissons.	Bien entendu... avez-vous un téléphone ?	Bien sûr que c'est....avez-vous un téléphone?
French: Ce qui compte, c'est qu'il y ait une jolie infirmière comme ça qui te fasse des massages. = English: What matter is that there's a pretty nurse who gives you massages.	Tu pourrais me faire un cake aux fruits avec des décorations en glaçage ?	Pourriez-vous me faire un gâteau aux fruits avec des décorations en glaçage?
French: C'est très original = English: That's very original.	Je vous paie pour réfléchir !	Je vous paie pour penser!!
English: Why is that? = French: Pourquoi donc ?	Je suis désolée que tu aies passé une si mauvaise journée.	Je suis désolé que vous ayez eu une si mauvaise journée.
English: Hmm, I'm not sure about that. = French: Hmmm, je n'en suis pas sûre.	Excuse-moi.	Excusez-moi.
English: Sorry I thought we were organising it, are you happy for it to be another night? = French: Désolée, je pensais qu'on était en train de l'organiser, ça t'irait que ce soit un autre soir ?	Bonne idée – maintenant vous réfléchissez.	Bonne idée - tu commences à y penser.
English: Where will you go when we finally get out of here? = French: Où irez-vous quand nous serons sortis d'ici ?	Je pensais avoir été discrète...	Je pensais que j'étais subtil...
English: Plus I thought you had secretly always loved me... = French: Et puis je pensais que tu m'aimais en secret depuis toujours...	Bien sûr, certains la voient comme une bière relativement commerciale mais ça reste une valeur sûre.	certes, certains peuvent le voir comme une bière plutôt commerciale, mais c'est toujours un choix solide
French: Il joue au golf avec vous? = English: He plays golf with you?	Oui, mais ça devient vite ennuyeux.	Oui, mais c'est ennuyeux.
English: What on earth is "the Vache Who Rit?" = French: Mais qu'est-ce que c'est que « la Vache Qui Rit » ?	Quelle surprise de te voir !	Quelle surprise de vous voir.
English: What exactly did he do? = French: Qu'est-ce qu'il a fait exactement ?	Très bonnes vacances !	Bonnes vacances!
English: i hear you, brother! = French: Je t'ai entendu mon frère !	Qu'est-ce que vous faites ?	Qu'est-ce que tu fais?
French: Vous allez où? = English: Where are you going?	Les programmes d'échanges avec des étudiants étrangers ?!	programmes d'échange avec des étudiants étrangers?!
English: ok - you lead the way. = French: OK, tu passes devant.	Je serai Octopussy !	Je serai Octopussy!
English: everyone loves dolphins = French: Tout le monde aime les dauphins.	J'ai l'habitude de faire une descente dans le congélateur même lorsque je dors.	Je raide souvent le congélateur, même quand je dors.
French: Quel sport aimeriez vous pratiquer? = English: What sport would you like to do?	Lorsqu'on m'a proposé une promotion.	Quand on m'a proposé une promotion.
English: i'm tired of all those tragic stories you hear about young kids getting caught up in petty disputes between rival gangs = French: Je suis fatigué de toutes ces histoires tragiques que l'on entend à propos de jeunes embarqués dans des querelles entre gangs rivaux.	Si tu vois ce que je veux dire.	Si vous voyez ce que je veux dire.
English: The ducks are pretty, particularly the males. = French: Les canards sont beaux, surtout les mâles.	Mon Dieu !	Oh là là!
French: Nous nous sommes croisés dans la rue, c'était drôle ! = English: We bumped into each other in the street. It was funny!	On dit que l'avion est le mode de transport le plus sûr, vous savez !	On dit que l'avion est le moyen de transport le plus sûr, tu sais!
English: you won't even have a head! = French: Tu n'auras même plus de tête !	Après tout, nous sommes spécialisés en bières.	après tout, nous sommes des spécialistes de la bière!
French: Ah très bien, je ne donne plus de pain. = English: Oh very well then, I won't given them any more bread.	Merci. Mais n'en prendras-tu pas aussi avec moi ?	Merci mais tu ne vas pas en manger avec moi?
English: Don't do that! = French: Ne fais pas ça !	Cet 'ecce homo' raté était mieux que n'importe quoi que tu feras jamais.	ce fiasco de 'ecce homo' était mieux que tout ce que tu pourrais jamais faire
English: Don't worry, I wouldn't taste it myself. = French: Ne vous inquiétez pas, je ne les goûterai pas moi-même.	Elle n'accepterait pas d'argent de ma part.	Elle ne me prendrait pas d'argent.
English: After he'd finished flapping his arms around, he did say something not particularly nice - something about his new shirt. = French: Après avoir arrêté d'agiter ses bras dans tous les sens, il a dit quelque chose de désagréable - quelque chose à propos de sa nouvelle chemise.	Tu sais que j'ai un sens de l'humour terrible. Remarque, je ne suis pas sûr qu'ils me comprennent à chaque fois.	vous savez, j'ai un sens de l'humour diabolique, mais je ne suis pas sûr qu'ils me comprennent toujours.
English: Don't worry, but make sure you know what's what tomorrow, = French: Ne vous inquiétez pas, mais faites en sorte de savoir où sont les choses demain.	Tu es un sous-chef junior et tu as intérêt à t'en souvenir.	Vous êtes un sous-chef junior et vous feriez mieux de vous en souvenir.
French: On pourrait prévoir un carpaccio de saint jacques en entrée = English: We could prepare a scallop carpaccio for the starter.	Cela me rappellera seulement mon incapacité à résister – j'ai en permanence de la glace autour de la bouche.	Ça me rappellera juste mon incapacité à résister - j'ai constamment de la glace autour de la bouche.
English: I would like to play football. = French: J'aimerais bien faire du foot.	Il faudra bien que ça aille.	je suppose qu'il faudra faire.
English: go on, tell me what happened. = French: Vas-y, dis-moi ce qui s'est passé.	Ne t'inquiète pas, moi aussi je suis ici.	Ne t'inquiète pas, je suis arrivé ici aussi.
English: Beneath the stars! = French: À la belle étoile !	et bien sûr un gâteau !	et bien sûr un gâteau !
English: I use an alias, as there are a lot of weird people out there. = French: J'utilise un pseudonyme, car il y a plein de gens bizarres dans la nature.	J'espère qu'elle sera là à m'attendre quand je vais arriver.	J'espère qu'elle sera là pour me récupérer quand j'arriverai.
French: c'est bête mais cela nous a fait rire avec mes parents = English: It's stupid, but my parents and I found it funny.	Je travaille de chez moi, donc c'est agréable de sortir pour quelques heures sinon je ne vois personne de la journée.	Je travaille à la maison, donc c'est agréable de sortir quelques heures sinon je ne vois personne toute la journée.
French: Moi aussi, j'aime bien venir souvent dans ce parc. = English: Me too. I like coming to this park often.	Et tu les nourris comment ?	Et qu'est-ce que vous leur donnez à manger?
French: cool = English: Cool.	Est-ce que vous pourriez me recommander un bon diététicien s'il vous plaît ?	Vous pouvez me recommander un bon médecin diététique s'il vous plaît?
English: i'm so scared. = French: J'ai tellement peur.	Et les abeilles aussi.	et les abeilles aussi.
French: Ainsi qu'à Mexico. = English: And to Mexico.	Et je me suis collé la main à la table en arts plastiques.	Et j'ai juste collé ma main à la table en Art.
English: The carrots might sink before they have a chance to eat them! = French: Les carottes pourraient couler avant qu'ils aient la moindre chance de les manger !	Comment s'est passée ta journée ?	Comment s'est passé votre journée?
English: She told me that if we cannot get the money back then I'll need to find the 1 billion euros myself. = French: Elle m'a dit que si nous ne pouvions pas récupérer l'argent je devrai trouver 1 milliard d'euros moi-même.	Tu sais ce qu'ils prévoient ?	Savez-vous quel est le pronostic?
French: allez lève toi, tu ne vas pas boire allongée = English: Come on, get up. You're not going to drink lying down.	Il est probablement sur le point d'être viré par la direction !	il est probablement sur le point d'être viré par la direction générale!
French: il faut mettre plus de crème = English: You need to add more cream	L'odeur de l'ail t'empêchera de flirter avec les serveuses, de toute façon.	Fumer de l’ail vous empêchera de flirter avec les serveuses de toute façon
French: Il y a un pêcheur, là-bas. = English: There's a fisherman over there.	C'est très gentil.	C'est très gentil.
English: We had better move fast. = French: Nous aurions intérêt à bouger vite.	Ah OK.	Ah ok.
English: What sort of good time did you have in mind? = French: Qu'est-ce que voulez dire par « bon moment » ?	Vous dites être un bar mais vous ne me servez pas.	Vous appelez ça un bar mais vous ne me servez pas.
French: La chance! = English: Lucky!	Je te vois un peu plus tard et on pourra s'occuper de la nourriture et de tout ça à ce moment-là.	Je te vois un peu plus tard et on pourra régler le problème de la nourriture etc quand je serai là.
French: On pourrait peut être faire des petites tartes au citron avec les fraises ? = English: We could perhaps do little lemon tarts with strawberries?	Le personnage principal est un généalogiste et il essaie de donner du sens à une histoire de famille sur des contrebandiers et un trésor de souverains d'or.	Le personnage principal est généalogiste et il essaie de comprendre une histoire familiale de contrebandiers et un trésor de pièces d'or.
English: It's not natural. = French: C'est pas quelque chose de naturel.	On ne sait jamais.	On ne sait jamais.
English: I don't like it. = French: Je n'aime pas ça.	Je joue toujours mieux après un petit verre !	Je joue toujours mieux après un petit verre!
English: not those horrible french fries! = French: Pas en horribles frites à l'américaine.	La gallerie d'art est intéressante.	L'art gallery est intéressant.
English: Wait! = French: Attends !	Je vous l'enverrai dès que je l'aurai finie.	Je te l'enverrai dès que ce sera terminé.
French: Sauf si elle a un accident de voiture bien sûr! = English: Except if she has a car accident of course!	De quoi parles-tu ?	qu'est-ce que tu racontes?!
French: La fête sera ce soir, mais, si tu es disponible, cela pourrait être sympa de préparer ensemble vu que tu as plein de bonnes idées ! = English: The party will be tonight, but it could be nice to get everything ready together since you are full of good ideas!	Je me rappelle avoir travaillé à côté d'un homme qui était très fier de rouler 15 miles pour venir au travail.	Je me souviens de ce collègue qui était très fier de faire 15 km à vélo pour aller au travail
French: Ce n'est pas vraiment de la peur, du reste. = English: Anyway, it's not really fear	Bonjour. Oui, c'est une belle journée.	Bonjour, oui, c'est un beau jour.
English: Anything could happen! = French: Tout peut arriver !	J'y vais, je vais m'acheter une robe toute neuve !	Je vais aller m'acheter une nouvelle robe pour la porter !
French: Il faut qu'on se dépêche! = English: We need to hurry!	Et on pourrait demander aux amis d'apporter des salades et du vin.	Alors on pourrait demander à des amis d'apporter des salades et du vin.
English: That chocolate is really nice = French: Ce chocolat est vraiment bon.	Vous pouvez accrocher votre manteau au porte-manteau là-bas.	Vous pouvez accrocher votre manteau sur le crochet là-bas.
French: ça marche ! = English: Ok then!	Bourrons-nous la gueule.	Allons nous saouler.
French: Boissons ou nourriture, d'ailleurs. = English: Food or drink, for that matter.	Tu promets ?	Vous promettez?
French: Coucou, comment s'est passée ta journée ? = English: Hi, how did you day go?	Je vais transmettre votre commande.	je vais passer la commande
English: I was only being humourous = French: Je faisais juste de l'humour.	Donc c'est gagnant gagnant !	Donc c'est gagnant gagnant!
English: But perhaps some chips would be good. = French: Mais des frites ce serait peut-être bien.	Pourquoi est-ce que c'est de ma faute ?	Pourquoi est-ce ma faute?
French: Je n'aime pas du tout prendre l'avion surtout par mauvais temps comme aujourd'hui = English: I don't like flying at all, especially when the weather's bad like today.	Bien sûr !	Bien sûr!
English: Four hours? = French: Quatre heures ?	C'est une bonne nouvelle.	C'est une bonne nouvelle.
English: I don't like Breton, all that moving slowly around in a line or circle - very dull = French: Je n'aime pas la musique bretonne, toute cette façon de se déplacer lentement en ligne ou en cercle — très terne.	Jeannine et moi ne sommes plus amies.	Je ne suis plus ami avec Jeannine.
French: On va se marrer ! = English: We'll have a right laugh!	J'étais seulement un peu inquiète parce que vous avez dit que vous aviez très faim mais vous ne cherchiez pas à manger.	Je n'étais pas très inquiet car tu disais que tu avais faim et que tu ne mangeais pas en priorité
English: I have to say that the pay isn't great here... I've actually been thinking about changing jobs. = French: Il faut avouer que les salaires ne sont pas très élevés ici... En fait je réfléchis à changer de travail.	Un grand merci pour votre visite.	Merci beaucoup d'être venu me voir.
