French: avec plaisir! = English: With pleasure!	Do you have any specific ideas?	Did you have any ideas already?
French: C'est difficile parfois de vieillir. = English: Growing old is difficult sometimes.	I understand.	I understand.
French: Si tu les fais rire c'est bon signe. = English: If you make them laugh, that's a good sign.	And how about the food?	And the food?
French: On peut faire cela à proximité ? = English: Can we do it nearby?	I've never done it before.	I have never done it
French: Bon, eh bien je te laisse encore 15 minutes avec ton généalogiste. = English: Ok, well I'll leave you be for another 15 minutes with your genealogist.	Then we can go have some lunch.	Then we'll go for lunch.
French: Je vous rappelle que les cours sont obligatoires. = English: I'd like to remind you that classes are compulsory.	You can enjoy the nice weather in a few weeks.	You will go enjoy the nice weather in a few weeks.
French: Je joue du saxophone. = English: I play the saxophone.	I find it's an instrument with a fabulous sound.	I think it's a wonderful instrument with a wonderful sound.
French: C'est surprenant! = English: That's surprising!	Did you have a bad experience?	Did you have a bad experience?
French: Je viens de rentrer. = English: I just got in.	How was your day?	How was your day?
French: D'accord on se voit demain ! = English: Ok see you tomorrow!	Have a good afternoon!	Have a nice afternoon!
French: C'est décourageant. = English: it is dispiriting	I understand.	I understand
French: Pour mon bien ? = English: For my own good?!	Yeah, that's right.	That's it!
French: Ceci dit, je viens ici tous les jours donc vous m'avez probablement vu. = English: that being said, i do come here every day so you probably did see me	Me too. I like coming to this park often.	I too, like to come often in this park.
French: Moi j'ai presque toutes mes dents, j'ai de la chance! = English: I'm lucky - I have almost all my teeth.	Do you want to go to the common room for a cup of tea?	Do you want to go to the common room to have a cup of tea?
French: Vous pourrez témoigner en ma faveur. = English: You'll be able to vouch for me!	Of course.	Of course.
French: Elle déplacent des objets dans les chambres. = English: They move objects around the rooms.	They tell us to go there, do that, huh.	They tell us to go here, to do that, pfff.
French: Tu es vraiment incroyable = English: You are really unbelievable.	If you want we'll go for a walk tomorrow.	if you want we will walk tomorrow.
French: Ça va être un sacré choc pour vous, n'est-ce pas ? = English: That's going to be a bit of a shock for you isn't it!	Oh, don't!	Oh yes, don't mention it!
French: Pas grave. = English: Never mind.	I'm quite surprised you know what a caipirinha is.	I am quite surprised that you know how to make caipirinha.
French: Alors j'en prendrai un litre entier ! = English: I'll have a whole litre then!	Thank you!	Thank you!
French: Non, merci. = English: No thank you.	Just a coffee.	Just a coffee.
French: Tu dois revenir me voir bientôt. = English: You must come visit me soon	It was great seeing you too!	It made me happy too!
French: Vous allez où? = English: Where are you going?	Are you off on holiday?	Are you going on vacation?
French: C'est une bonne idée, originale, qui plaira sans doute à nos convives = English: That's a good idea. It's original and the guests are sure to like it a lot.	And how about dessert?	And for dessert?
French: Nous n'avons que du gin Gordon. = English: We have Gordon's gin only	Is that all?	Is that all?
French: Ou même ne penser à rien. = English: Or to just think of nothing.	And yet it's so nice - you should try it.	It's
French: Plutôt en cube ou en long ? = English: Into cubes or lengthways.	Do you want beetroot with that too?	Do you want beetroot too?
French: Tiens, voilà Ania. = English: Look, here comes Ania.	Let's go have some tea!	On the way to tea!
French: On va faire comme tu as dit et tenter de revenir sur nos pas. = English: We'll do as you suggested and try to retrace our steps.	I have a torch.	I have a flashlight.
French: J'ai juste un paquet de cigarettes. = English: I've just got a pack of cigarettes.	Do you think they would eat little pieces of tobacco leaves?	Do you think it would eat little pieces of tobacco leaf?
French: Sortons vite de la pièce ! = English: Let's get out of the room quickly!	I'm going to have a look across the corridor, but I fear it might be Mr. Dupont, the other chemistry teacher...	I'm going to see in front, but I fear that it will be Mr. Dupont, the other Chemistry teacher...
French: Oh et non je n'ai pas bu, même pas une tequila avec un ver au fond de la bouteille ! = English: Oh and no I ve not been drinking, not even tequila with a worm in the bottom of the bottle!	I see you have some character.	I see that you have a sense of humor.
French: Ah comme je vous comprends! = English: Ah I know only too well!	Marion has always been everyone's little darling... A bit like your Oliver, don't you think?	It is true that Marion has always been the darling of everyone... A little like your Oliver, isn't she?
French: Bonsoir = English: Good evening.	How's it going?	How are you?
French: Je vais voir si la nourriture a été livrée. = English: I'll see if we've had a delivery of the food.	Great! I'll continue preparing the dessert then!	That works, I'll continue to prepare the dessert at that time!
French: Très bien. = English: Very good.	Where did you go this year?	Where did you go this year?
French: Si vous en voulez un je le fait. = English: If you want one, I'll make you one.	Otherwise I won't.	Otherwise, I won't make you one.
French: Euh ils viennent de commencer en fait, ils sont un peu débutants... = English: Erm, they've just started out actually...they're a bit amateur.	Actually it's an experimental group. They combine lots of different music styles!	Actually it's an experimental group, they combine lots of different styles of music!
French: Je n'ai pas connaissance de problème similaire dans ma famille. = English: I don't know of any similar problems in my family.	Except perhaps my great-grandfather but he drank heavily.	Except maybe my great grandfather, but he drank a lot.
French: J'aime aussi beaucoup me promener et écouter les oiseaux mais je ne m'y connais rien. = English: I also really like to go walking and listening to the birds, but I don't know anything about them.	What rare species do you look out for?	What rare species are you looking for?
French: Attends, avant de partir, voici une liste de tout ce dont nous avons besoin pour le service de ce soir. = English: wait, before you go, here is a list of everything we need for tonight's service	I'm back!	I'm back!
French: Mais ces inversions de couleurs peuvent durer plusieurs heures. = English: Bu these colour inversions can last for several hours.	And it's really annoying, since I'm in change of traffic lights.	And it's very annoying, because I am in charge of traffic lights.
French: Et bien me voilà. Que veux-tu que je fasse ? = English: So here I am. What do you want me to do?	Great!	Great!
French: Merci pour ton aide! = English: Thanks for your help!	And if you have any more ideas, please call me.	And if you have any more ideas, don't hesitate to call me back.
French: Je suis impressionnée. = English: I'm impressed.	Oh, it stopped.	Ah, it stopped.
French: Sinon la prochaine fois je ne rédigerai que 2 pages, comme Martin, qui a eu 15. = English: Otherwise, next time I'll only write 2 pages, like Martin, who got 15.	It's not fair.	It's not fair.
French: Voilà, c'est lancé. = English: Right, it's on.	In the meantime, I'll start preparing three guinea fowl.	At the same time, I'm going to start preparing 3 turkeys
French: Désolée – je voulais dire fête. = English: Sorry - that should say party	I'm not sure I understood correctly.	I'm not sure I understood you correctly.
French: Oui, absolument. = English: Yes, definitely.	Anyway, it's not really fear	It's not really fear, anyway.
French: J'espère que non ! = English: I hope it doesn't!	We'll see about that!	We'll see about that!
French: Avez vous un burger sans oignons ? = English: Do you have a burger without onions?	I don't want to be difficult.	I don't want to be difficult
French: Aïe ! = English: Ouch!	It's that kind of day when you would have preferred to not have got up in the morning!	It's the kind of day where you would have preferred not to have woken up in the morning!
French: 5 secondes sans se faire crier dessus et ils vont commencer à se demander pourquoi l'open space est si calme et agréable d'un seul coup. = English: 5 seconds without being shouted at and they will start wondering why the open space is so calm and pleasant all of a sudden	Whoa, be polite!	Hey, be polite! ###
French: C'est une étape importante ! = English: It's an important step!	Since when have you been feeling all this anxiety?	Do you know when you started feeling all these worries?
French: Secoué je crois = English: Shaken I think.	Chips would be perfect. I'm starving.	Chips would be perfect, I'm starving.
French: Qu'est-ce que tu veux dire par « on continue » ? = English: What do you mean we keep going?	Well we keep watching TV, even if we know that we spend too long doing it.	Well, we keep watching TV, even though we know we spend too much time doing it.
French: bien sûr, je peux vous aider à organiser votre fête ! = English: Of course, I can help you organise your party!	With pleasure!	with pleasure!
French: Je ne crois pas que j'aurai la moindre question vu que je ne comprends pas grand-chose. = English: I don't even think I'll have any questions 'cause I understand so little.	All the teachers are available.	All the professors will be available.
French: Je vais servir plutôt la sole sur un lit de fenouil. = English: I'm going to serve the sole on a bed of fennel instead.	What shall I suggest for the wine?	What wine do you suggest?
French: Il aurait été insupportable. = English: He would have been unbearable.	He would have yelled at me, completely devoid of respect for his boss.	He would have shouted at me, disrespecting his boss.
French: Je reviendrai. = English: I'll come back.	Perhaps next week.	Maybe next week.
French: Et ici même il n'y a rien ? = English: And is there nothing on the premises?	If I remember correctly, last time somebody was meant to come and give a seminar on Ancient Egypt.	I seem to remember that the last time a speaker was to come to talk about ancient Egypt.
French: Coupez un tout petit peu de la peau en dessous, pour qu'ils puissent tenir droit dans l'assiette = English: Cut a little bit of rind off the bottoms so that they sit steady on the plate.	Pour in the soup and put a mint leaf on top as decoration.	Pour the soup in, and put a sprig of mint on top to decorate.
French: Bon, si vous vous sentez à l'aise, que se passe-t-il ? = English: So, if you're feeling comfortable, what's been going on?	I think my neighbours think I want to hurt them.	I think my neighbors think I want to hurt them.
French: On sera réduits en miettes, à plusieurs kilomètres sous l'eau. = English: We'll be ripped to shreds, several kilometres underwater.	They'll mention our crash in the newspaper.	We'll be talking about our crash in the newspapers.
French: Nous voilà bloqués. = English: So we're stuck.	And I have an important meeting to go to!	And me who was supposed to go to an important meeting!
French: Mais j'aimerais vraiment ne pas être dans cet avion. = English: But I really don't want to be on this plane.	Where are you going?	Where are you going?
French: Je n'ai pas de chance, pensez-vous que j'aime passer mon temps à mettre des notes, pensez-vous que je fais ça pour moi ? = English: I am not lucky, do you think I like to spend my time marking, do you think it is for my benefit?	Oh but I do learn a lot.	oh but I learn a lot
French: Elle avait un don pour la musique, si je me souviens bien. = English: She had a talent for music if I remember.	Emma is in her final year at college doing sciences.	Emma is in her last year of high school.
French: Donc c'est gagnant gagnant ! = English: So it's win win!	Yes, it is!	Indeed!
French: J'entends des gens dehors. = English: I hear people outside!	Yes, liberation shouldn't be too long.	Yes, the
French: Comme vous l'admirez tous, un ou deux d'entre vous pourraient demander à parler de la situation avec elle, d'une façon positive, pour lui dire combien vous l'appréciez mais aussi que vous avez l'impression qu'elle n'a pas assez confiance en l'équipe. = English: As you all admire her, perhaps one or two of you could ask to discuss the situation with her, in a positive way, to say how much you appreciate her but that you feel she does not have enough confidence in the team	Don't you think she'll find it inappropriate?	Don't you think she will find this approach inappropriate?
French: J'ai quelques heures à perdre avant de prendre mon train. = English: I have a few hours to spare before catching my train.	Oh, where you are going?	Oh, where are you going?
French: On peut les prendre avec un verre de vin ou deux. = English: We can enjoy them with a glass or two of wine.	If we're going to buy a bottle of wine and drink it in secret, you might as well get a good bottle...!	If you have to buy a bottle of wine and drink it secretly, buy a good one...!
French: Ceux d'Agatha Christie par exemple. = English: Agatha Christie novels for example.	Have you read them?	Have you read them?
French: Je viens de les appeler, ils ont dit oui ! = English: I just called them and they said yes!	So we've got the room at the back — it's begin enough — from 7pm.	So we have the back room, it's quite big, from 7pm.
French: Est-ce qu'ils seront ici toute la nuit ? = English: Will they be here all night?	They're a rugby team celebrating their win.	It's a rugby team celebrating their victory.
French: D'accord. = English: Ok.	Let's do that: I'll contact my other friends and I'll leave it to you to prepare black and white decorations!	Ok. We do it like that; I contact my other friends, and I leave you to prepare the decorations in black and white!
French: On le sait, mais on continue. = English: We know it, but keep doing it.	It's a bit stupid.	It's a bit stupid.
French: Bon, je ne trouve pas la carte... = English: Ok, I can't find the map...	But there is some chocolate left. Do you want some?	But there is still some chocolate, do you want some?
French: Peut être pourrions nous le faire mariner dans du citron, et avec un peu d'huile d'olive ? = English: Perhaps we could marinate it in lemon and with a bit of olive oil?	To serve it as a starter, with some fresh vegetables?	in order to serve it as an appetizer, accompanied by some fresh vegetables?
French: Remarquez, un whisky, c'est parfait contre le stress aussi. = English: Then again, a whisky would be perfect to combat stress too.	Erm... if you want.	Well, if you want.
French: Et le corned beef prend plus de cinq heures. = English: and bully beef takes more than five hours	I'll dash off and I'll be back with what I find!	I am off and I will be back with what I find!
French: Après tout, les canards mangent tous les jours! = English: After all, ducks eat every day!	Do you come here often?	Do you come here often?
French: La peur de l'échec ? = English: Fear of failure?	Something else?	Anything else?
French: Je suis journaliste, donc une profession très solitaire. = English: I'm a journalist, so a very solitary profession.	I prefer ducks myself. I find swans can be mean.	I prefer ducks, I find that swans can be mean.
French: Vous le méritez. = English: You deserve it.	Has class started?	Has the course started?
French: Un endroit pas trop bruyant, sinon c'est difficile d'entendre les gens parler, et où on sert de la bonne cuisine. = English: Somewhere not too noisy, otherwise it's difficult to hear people speak and where they would serve some good food.	That brings to mind a bar I know, which is really charming.	it reminds me of a bar I know, which has a lot of charm.
French: C'est assez original . = English: That's quite original.	Can we do it nearby?	Can we do that nearby?
French: Hahaha = English: Hahaha	On a more serious note, you're right - musicians help to create a good atmosphere.	Seriously, you are right, musicians are good for the atmosphere.
French: Je reviens vite – est-ce que tu as besoin que je te prenne quelque chose ? = English: I'll be back soon--do you want me to pick up anything?	But who's an asshole?	But who is a jerk?
French: Mais regardons les instructions à suivre en cas d'arrêt de l'ascenseur entre deux étages. = English: But let's take a look at the instructions to follow in the event of the lifting stopping between floors.	I'm pushing the call button.	I press the call button.
French: Pourquoi pensez-vous mériter plus ? = English: Why do you think you deserve more?	Because I wrote 14 pages and I added lots of quotes.	Because I wrote 14 pages, and I put a lot of quotes.
French: Bonjour ma chère, ça fait un bail ! = English: Hello my dear, it's been a while!	Oh, it's very kind of you to come to see me!	Oh, it's very kind of you to come and see me!
French: Je vous l'ai dit, c'est une femme. = English: I told you, she's a woman.	Very beautiful too.	Very beautiful, too.
French: La Vache qui Rit ! = English: Laughing Cow!	Laughing Cow in English :)	- Laughing Cow in English :)
French: Je vais essayer de poser quelques jours de congés, alors. = English: I'll try to take some a couple of days' leave then.	I'm sure that I'll feel better soon.	I'm sure it'll be better soon.
French: Typo: La seule raison pour laquelle les gens achètent tes peintures merdiques est parce qu'ils ont pitié de toi. = English: typo: the only reason people buy your crappy paintings is because they feel pity for you	Of course, you assume your sexual deviances and your incapacity to have a satisfying erectile function so poorly that you feel the need to be unpleasant, nasty and humiliating.	Of course, you assume so badly your sexual deviances and your inability to have a satisfying erectile function that you feel obliged to be unpleasant, mean and humiliating.
French: Et s'il fait beau on pourrait se mettre dans le jardin. = English: And if the weather is nice we could hold it in the garden.	Yes, good idea!	Yes, that's a good idea!
French: Que veux-tu ? = English: What would you like?	I would like an orange juice.	I would like a glass of orange juice.
French: Qu'est-ce que vous en pensez ? = English: What do you think?	Do you do any sport?	Do you do sports?
French: Après une sole un dessert léger me semble une bonne idée. = English: After sole, I think a light dessert would be a good idea.	Either a lemon cart or rum pineapple. What do you think, chef?	Either a lemon tart or a rum and pineapple. What do you think chef?
French: Tu n'aimes pas les chiens ? = English: Do you not like dogs?	Dogs yes, but not wolves!	dogs yes but wolves no!
French: On ne peut jamais faire confiance aux gens quand on est dans un espace confiné ! = English: You can never trust people in confined spaces!	But why are you saying “tu” to me???	But why are you talking to me like that?
French: Tant pis, est-ce que vous pouvez me donner un peu de votre eau ? = English: Anyway, can you let me have a bit of your water?	Yes, here you go.	Yes, here you are.
French: Parlez-moi de votre mère. = English: Tell me about your mother.	Why are you worried about her?	Why are you
French: Mais boire un verre est certainement une bonne idée. = English: But having a drink is surely a good idea.	But nobody will serve us if we're about to crash.	But no one is going to serve us if we are just sitting there.
French: OK Chef ! = English: Yes chef!	Into cubes or lengthways.	Rather cubed or long?
French: Cela fait dix ans = English: It's been 10 years.	Ok, I'll prepare that.	OK for the preparation.
French: Merci pour votre aide, docteur. = English: Thank you for your help, doctor.	It was a pleasure talking with you today!	It was a pleasure to talk with you today!
French: l'avion, c'est très sûr = English: Flying's very safe.	And there are always films to take your mind off it.	And there's always a film to change your mind.
French: Une femme, je pense. = English: A lady, I think.	I told you, she's a woman.	I told you, it's a lady.
French: Tu dois avoir des chats particuliers s'ils boivent du cognac. = English: You must have strange cats if they drink cognac.	My cat won't even drink soya milk, so cognac...	My cat won't even drink soy milk, so cognac...
French: j'ai pris un jus d'orange = English: I ordered an orange juice.	I'm sensible.	I am reasonable.
French: J'ai des chamallows dans mon sac. = English: I've got some marshmallows in my bag.	I have matches!!	I've got some matches!
French: Vous le connaissez personnellement, donc vous le favorisez. = English: You know him personally and therefore show favouritism towards him.	I think I'm going to speak to the Head. It's not normal.	I think I'll discuss it with the headmaster, it's not normal.
French: Mais ça doit lui prendre du temps, de s'occuper de toi = English: But looking after you must take up quite a bit of his time.	And here they have everything you need!	And here, there's everything you need!
French: Londres a tellement peu de pistes cyclables, moi je n'y ferais pas de vélo. = English: London has so few cycle lanes I would not cycle myself	But it wasn't life-threatening.	But his life is not in danger.
French: C'est exactement ce que l'on va faire. = English: That's exactly what we'll do.	Can you call the bride and groom?	You call the bride and groom?
French: Tu pourrais venir t'installer ici, dans cette maison de retraite, non? = English: You could come and live here, in this retirement home. What do you think?	Do you think you'd like it here?	Do you think you would like it?
French: Si ce n'est pas trop cher, je peux éventuellement payer les boissons et chacun paie pour la nourriture qu'il commande... = English: If it's not too expensive, I could perhaps pay for the drinks and everybody could pay for their own food they've ordered...	But I don't really like Italian restaurants...	But I don't like Italians very much...
French: Je peux appeler Anya pour qu'elle apporte le lève-personne. = English: I can give Anya a shout to get the hoist	Ah yes, very good idea.	Oh yes, a good idea.
French: L'entrée c'est juste deux soupes de melon. = English: The starter's just two melon soups.	You do remember the recipe, don't you?	Do you remember the recipe, don't you?
French: Et les pilotes! = English: The pilots too!	And not just anyone becomes a pilot, you know!	Then the pilots, you know, they're not just anybody!
French: Vous sentez ça ? = English: Can you feel that?	What?	What?
French: Je crains malheureusement avoir vu un loup ou un gros chien errant tout à l'heure. = English: Unfortunately, I fear I may have spied a wolf or a big stray dog earlier.	As for the flint, I have a box of matches in my left pocket.	For the flint, I have three boxes of matches in my left pocket.
French: Après, cela fait des années maintenant que j'habite en Islande. = English: Then again, I've been living in Iceland for years now.	And there aren't any ducks, only sheep and horses...	And, there are no ducks, rather sheep, and horses...
French: Oui, faites vite, j'ai une réunion dans 15 minutes. = English: Yes, but be quick, I have a meeting in 15 minutes.	Ok?	Is that OK?
French:  = English: 	Hello Doctor.	Hello Doctor
French: Je ne comprends pas comment tu peux être heureuse de ne rien faire pendant des heures. = English: I don't understand how you can be happy doing nothing for hours.	I find it totally unfathomable.	It's totally incomprehensible to me.
French:  = English: 	Let me point out that you're on your fifth whisky.	I would like to underline that you are on your fifth whisky
French: C'est vrai, ça fait longtemps! = English: Yes it has been a long time!	How are you doing?	How are you?
French: merci de cette précision. = English: Thank you for clarifying.	Perhaps we could marinate it in lemon and with a bit of olive oil?	Maybe we could marinate it in lemon juice, and with a little olive oil?
French: Oh mon dieu je ne me sens pas bien. = English: Oh God, I don't feel too well.	I'm going to be sick.	I'm going to throw up.
French: Et il y a toujours des films pour vous changer les idées. = English: And there are always films to take your mind off it.	We've been in the air for a while.	It's been a while since we've been in the air.
French: Le proviseur en est membre aussi ! = English: The principal is also a member!	There must be other teachers who don't play golf.	There are surely other teachers who do not play golf.
French: Est-ce que vous allez prétendre que vous avez fait tout ce que vous avez fait depuis trois ans que je suis en thérapie avec vous ? = English: Are you going to pretend that you haven't been doing what you've been doing these past three years that I've been in therapy with you?	You're putting me in a difficult position.	You put me in a difficult position.
French: Une tarte au citron peut-être ? = English: Lemon tart perhaps?	After sole, I think a light dessert would be a good idea.	After sole a light dessert seems like a good idea.
French: Je pars à un séminaire sur la peur de l'avion. = English: I'm going to a seminar on the fear of flying.	I hope it will help me!	I hope it will help me!
French: Sinon vous devrez utiliser les escaliers. = English: Otherwise you’ll have to use the stairs.	Oh no problem.	Oh, no problem.
French: Je suis spécialisé en intelligence artificielle. = English: I'm a specialist of artificial intelligence.	But I also do web development. It helps pay the bills.	But I also do web development, it pays the bills.
French: Oui un verre de champagne c'est toujours, partout, un excellent apéritif. = English: Yes a glass of champagne is always, everywhere, an excellent aperitif.	You've travelled a lot!	You have travelled a lot!
French: C'est si terrible les chansons ? = English: Are the songs really so awful?	Which are they?	What are they?
French: mais tu m'avais dit que tu irais au marché ce matin! = English: But you told me you were going to the market this morning!	So we don't have the ingredients?	We don't have the ingredients, so?
French: Bien sûr. Sur quelles notions avez-vous besoin d'aide ? = English: Of course - which concepts are you needing assistance with?	Thank you.	Thank you.
French: Est-ce qu'il y aura un thème ou est-ce qu'on demande aux gens d'apporter ce qu'ils veulent ? = English: Is there going to be a theme, or should people just bring whatever they like?	Then we're sure not to die of hunger.	So we won't starve to death.
French:  = English: 	This is just the holiday I wanted.	These are exactly the holidays I wanted.
French: Sans téléphone pas d'instragram, sans instagram pas de publicité pour nos bons petits plats ! = English: No telephone no instagram, no instagram no advertising for our lovely little dishes!	I'll go up, but I'm keeping my telephone, so there!!	I go up, but honestly I keep my phone nah!!
French: Mais pourquoi est-ce que vous vous promenez avec un parachute sur vous? = English: But why do you go carry a parachute around with you?	Are you sure?	Are you sure?
French: Car c'est une recette de potion magique très ancienne avec un ingrédient mystère... = English: It's a very old magic potion recipe with a mystery ingredient, you see...	Ok, I'll give you the magic ingredient... It's...	Well, I'll give you the ingredient, it's...
French: Oui je prendrai bien un café. = English: Yes, I'd like a coffee.	And how are things here?	And how are things here?
French: J'ai eu une journée difficile. = English: I've had a horrible day	Oh my poor darling!	Oh poor dear!
French: Là le gros bouton rouge! = English: There - the big red button!	Push it for God's sake!	Push it, God damn it!
French: Nous allons chercher ces herbes et essayer d'en faire un onguent = English: We'll go find the herbs and try to make an ointment.	Then we can try to call for help by making a musical instrument.	Then, we can try to call for help by building a musical instrument.
French: De plus le temps peut changer. = English: Besides the weather might break	Especially as next week, I need you to do a presentation on your favourite subject: the effect of climate change on earthworms.	Especially that for the next week, I need you to give us a presentation on your favorite subject: the effect of global warming on earthworms
French: J'ai mon ordninateur dans mon sac à dos, comme je vous le disais, j'allais partir chercher mes enfants à l'école et je pensais travailler ce soir à la maison = English: I have my computer in my rucksack. As I told you, I was going to leave to collect my children from school and I was thinking of working from home this evening.	We'll find their number in my computer, don't worry.	We will find their phone in my computer, don't worry.
French: Je vous conseille donc : une pratique sportive CALME régulière (exemple, le footing), verrouiller votre four et manger des repas froids pour éviter un sinistre dans votre immeuble, et vous mettre au théâtre. = English: I therefore advise you to: do a regular CALM sporting activity (jogging for example), lock your oven and eat cold meals to avoid an accident in your building, and to start acting.	At the same time, we'll halve your dosage of pills.	In parallel, we reduce the pills by half.
French: Il faudra que tu ne dises rien au personnel à propos du vin et des cigares. = English: You will have to keep the wine and cigars a secret from the staff here.	Yes, but cigar smoke isn't very inconspicuous...	Yes, but with the cigar smoke, it is not very discreet....
French: On peut faire un tam tam mais il faudrait de l peau de bison ! = English: We could make a tom-tom, but we would need bison skin!	Or make a distress signal with a big fire.	Or we could make a distress signal by lighting a big fire.
French: Je peux faire des verrines, aussi, si tu veux. = English: I can also prepare verrines if you want.	They're practical at parties.	It's practical for parties.
French: Qu'y a-t-il au menu pour ce soir, vous vous en souvenez ? = English: What is on the menu for tonight, do you remember?	I think we had to prepare a fish starter.	It seems to me that we should have an appetizer with fish.
French: Pas mieux. = English: No better.	All we can do is wait now.	We just have to wait now.
French: Nous ferions bien de bouger. = English: WE had better get a move on.	Wait!	Wait a minute.
French: J'ai besoin de vos conseils pour savoir comment l'aider. = English: I need your advice on how to help him.	You could offer glasses to all the students?	Could you offer glasses to all the students?
French: il est parti au bout d'un quart d'heure d'attente = English: He left after waiting for a quarter of an hour.	And it was me who was presenting	and I was presenting.
French: Sais-tu quand nous sommes entrées dans la forêt ? = English: Do you know when we entered the forest?	And hungry.	And hungry
French: Où prendre une flûte de champagne ! = English: Or have a glass of champagne!	That works well too.	It works too!
French: Vous auriez peut-être pu choisir une boisson moins chère ! = English: Maybe you could have chosen a cheaper drink!	But then you must be a new waitress? I come here often and I have never seen you before.	But then you are new as a waitress, I come here often and I have never seen you?
French: On cuisine quoi ? = English: What shall we cook?	That's the question...	There is the question...
French: le premier qui arrive avec une cornemuse sera directement renvoyé en Ecosse. = English: The first person who comes with bagpipes will be sent directly back to Scotland.	It's my birthday. Not a funeral.	it's my birthday, not a funeral.
French: Cela te donnera une bonne excuse pour te reposer. = English: That will give you something to rest for.	I know, I know, and you can't stay still. You're incapable of taking any quiet time to just think.	I know, I know, and you are restless, you are incapable of taking time to think quietly.
French: Mais je répondrai uniquement aux e-mails pendant les heures de travail, donc merci de ne pas les envoyer tard mercredi soir. = English: But I will only answer emails during working hours, so please don't send them late on Wednesday evening.	Thank you Miss! I'll try to do that!	Thank you, madam, I will be careful.
French: Pas de problème, c'est déjà beaucoup. = English: No worries, that's already a big help.	Thank you for your time.	Thank you for your time.
French: Je ne dis pas ça contre ton ami... = English: No offense to your friend...	Erm, they've just started out actually...they're a bit amateur.	Um, they just started, they're a little bit beginners...
French: Je préfère arrêter ici notre conversation ! = English: I would rather we end our conversation!	I'll see you next week. Your work had better be of a high standard!	See you in a week, your work will have to be of good quality!
French: Que voulez-vous ? = English: What would you like?	I'd quite like a caipirinha.	I would like a caipirinha.
French: Un americano ? = English: Americano?	Just a large glass of squeezed orange juice, no ice.	A large glass of orange juice, no ice
French: C'est injuste! = English: It's unfair!	Your reputation won't get any better.	Your reputation won't improve.
French: D'après ce que le guide m'a dit hier quand nous visitions le temple, il y a des lions et des tigres dans le coin. = English: from what the guide told me yesterdat when we were visiting the temple, there are lions and tigers in the area	How was the visit to the temple yesterday?	How was the visit of the temple yesterday?
French: oh mais j'apprends beaucoup = English: Oh but I do learn a lot.	Even if I go to bed late.	even if I go to bed late.
French: Est-ce que vous pouvez commencer à découper les légumes s'il vous plaît ? = English: Could you start chopping the vegetables please.	Yes, no problem.	Yes, no problem.
French: C'est dommage, d'ailleurs. = English: It's a shame for that matter.	But she doesn't drink coffee and doesn't smoke, so she stays in her office all day.	But she doesn't drink coffee and doesn't smoke, so she stays in her office all the time.
French: Je ne pense pas que l'on puisse faire mieux que se réveiller au son des oiseaux. = English: I don't think you can beat waking up to the noisy sound of the birds.	Have you travelled to faraway countries to see and listen to very rare species?	Have you travelled to far away countries to see and hear very rare species?
French: Magnifique. = English: Splendid.	And they have good cake.	In addition they have good cakes.
French: As-tu d'autres idées qui te viennent en tête ? = English: Have you got any other ideas in mind?	Because blindly continuing with an injured knee doesn't seem like a good idea to me.	Because I don't think it's a good idea to go blindly forward with a hurt knee.
French: Je suis sûr, vu la qualité de votre mémoire sur ce sujet, que vous êtes passionnés par l'avenir des vers de terre. = English: I'm certain, given the quality of your essay on the subject, that you are passionate about the future of earthworms.	I want all the students to benefit from your expertise.	I want all the students to benefit from your expertise.
French: Peut être pourrait on faire une tarte au citron ? = English: Perhaps we could make a lemon tart?	Or perhaps chocolate macaroons?	or perhaps some chocolate macaroons?
French: rien de grave, ça va passer = English: Nothing serious, it'll pass.	I arrived late at work because of the strikes.	I was late for work because of the strikes.
French: Est-ce qu'il y a des végétariens voire des vegans parmi eux ? = English: Are any of them vegetarian or even vegan?	So we mustn't disappoint them...	So, don't let them down...
French: On a des conversations formelles, mais presque jamais des conversations informelles. = English: Our conversations are formal and almost never informal.	It's a shame for that matter.	That's a pity, too.
French: Ne tombez pas. = English: Don't fall in.	Thank you, I tripped!	thank you, I fell!
French: Est-ce que c'est possible d'avoir un délai supplémentaire ? = English: Is it possible to get an extension?	I don't think that will be possible, as it wouldn't be very fair with respect to the other students.	It seems a bit difficult, because it would not be fair to the other students.
French: Cela me semble un peu difficile, car cela ne serait pas équitable vis à vis des autres élèves. = English: I don't think that will be possible, as it wouldn't be very fair with respect to the other students.	Think of a very simple experiment!	Think of a very simple experiment!
French: Vous avez toutes les capacités pour réussir. = English: You are wholly capable of succeeding.	Don't give up!	Don't give up!
French: Vous devriez commencer à vous renseigner pour savoir dans quelles universités il y a des cursus qui pourraient vous intéresser. = English: You should start to look into which universities have courses that might interest you.	But the environment is a really fascinating subject and is very important for our future, so I encourage you to keep at it!	But environmental science is a really interesting and important field for our future, so I encourage you in this direction!
French: Nous avons fait un repas copieux... = English: We had a huge lunch...	Exactly! Walking is good for digestion.	Precisely, a walk is good for digestion!
French: Qu'est-ce que tu proposes ? = English: What do you suggest?	That's perfect!	That's perfect!
French: Est-ce qu'il y a des femmes dans votre entourage, au travail ou ailleurs, que vous trouvez difficiles à vivre ? = English: Are there any women around you, in your work or elsewhere, that you find rather difficult to deal with?	Yes, my boss.	Yes, my boss.
French: Peut-être avec de la crème Chantilly ? = English: Perhaps with Chantilly cream?	I also watch that programme!	I also watch this show!
